"type","ref","group","name","version"
"library","pkg:deb",,"libidn2-0","2.3.7-2build1"
"library","pkg:deb",,"libk5crypto3","1.20.1-6ubuntu2.2"
"library","pkg:deb",,"libkeyutils1","1.6.3-3build1"
"library","pkg:deb",,"libkrb5-3","1.20.1-6ubuntu2.2"
"library","pkg:deb",,"libkrb5support0","1.20.1-6ubuntu2.2"
"library","pkg:deb",,"libksba8","1.6.6-1build1"
"library","pkg:deb",,"libldap2","2.6.7+dfsg-1~exp1ubuntu8.1"
"library","pkg:deb",,"liblz4-1","1.9.4-1build1.1"
"library","pkg:deb",,"liblzma5","5.6.1+really5.4.5-1build0.1"
"library","pkg:deb",,"libmd0","1.1.0-2build1"
"library","pkg:deb",,"libmount1","2.39.3-9ubuntu6.1"
"library","pkg:deb",,"libncursesw6","6.4+20240113-1ubuntu2"
"library","pkg:deb",,"libnettle8t64","3.9.1-2.2build1.1"
"library","pkg:deb",,"libnghttp2-14","1.59.0-1ubuntu0.1"
"library","pkg:deb",,"libnpth0t64","1.6-3.1build1"
"library","pkg:deb",,"libp11-kit0","0.25.3-4ubuntu2.1"
"library","pkg:deb",,"libpam-modules-bin","1.5.3-5ubuntu5.1"
"library","pkg:deb",,"libpam-modules","1.5.3-5ubuntu5.1"
"library","pkg:deb",,"libpam-runtime","1.5.3-5ubuntu5.1"
"library","pkg:deb",,"libpam0g","1.5.3-5ubuntu5.1"
"library","pkg:deb",,"libpcre2-8-0","10.42-4ubuntu2"
"library","pkg:deb",,"libpng16-16t64","1.6.43-5build1"
"library","pkg:deb",,"libproc2-0","2:4.0.4-4ubuntu3.2"
"library","pkg:deb",,"libpsl5t64","0.21.2-1.1build1"
"library","pkg:deb",,"libreadline8t64","8.2-4build1"
"library","pkg:deb",,"librtmp1","2.4+20151223.gitfa8646d.1-2build7"
"library","pkg:deb",,"libsasl2-2","2.1.28+dfsg1-5ubuntu3.1"
"library","pkg:deb",,"libsasl2-modules-db","2.1.28+dfsg1-5ubuntu3.1"
"library","pkg:deb",,"libseccomp2","2.5.5-1ubuntu3.1"
"library","pkg:deb",,"libselinux1","3.5-2ubuntu2"
"library","pkg:deb",,"libsemanage-common","3.5-1build5"
"library","pkg:deb",,"libsemanage2","3.5-1build5"
"library","pkg:deb",,"libsepol2","3.5-2build1"
"library","pkg:deb",,"libsmartcols1","2.39.3-9ubuntu6.1"
"library","pkg:deb",,"libsqlite3-0","3.45.1-1ubuntu2"
"library","pkg:deb",,"libss2","1.47.0-2.4~exp1ubuntu4.1"
"library","pkg:deb",,"libssh-4","0.10.6-2build2"
"library","pkg:deb",,"libssl3t64","3.0.13-0ubuntu3.4"
"library","pkg:deb",,"libstdc++6","14.2.0-4ubuntu2~24.04"
"library","pkg:deb",,"libsystemd0","255.4-1ubuntu8.4"
"library","pkg:deb",,"libtasn1-6","4.19.0-3build1"
"library","pkg:deb",,"libtinfo6","6.4+20240113-1ubuntu2"
"library","pkg:deb",,"libudev1","255.4-1ubuntu8.4"
"library","pkg:deb",,"libunistring5","1.1-2build1"
"library","pkg:deb",,"libuuid1","2.39.3-9ubuntu6.1"
"library","pkg:deb",,"libxxhash0","0.8.2-2build1"
"library","pkg:deb",,"libzstd1","1.5.5+dfsg2-2build1.1"
"library","pkg:deb",,"locales","2.39-0ubuntu8.3"
"library","pkg:deb",,"login","1:4.13+dfsg1-4ubuntu3.2"
"library","pkg:deb",,"logsave","1.47.0-2.4~exp1ubuntu4.1"
"library","pkg:deb",,"mawk","1.3.4.20240123-1build1"
"library","pkg:deb",,"mount","2.39.3-9ubuntu6.1"
"library","pkg:deb",,"ncurses-base","6.4+20240113-1ubuntu2"
"library","pkg:deb",,"ncurses-bin","6.4+20240113-1ubuntu2"
"library","pkg:deb",,"openssl","3.0.13-0ubuntu3.4"
"library","pkg:deb",,"p11-kit-modules","0.25.3-4ubuntu2.1"
"library","pkg:deb",,"p11-kit","0.25.3-4ubuntu2.1"
"library","pkg:deb",,"passwd","1:4.13+dfsg1-4ubuntu3.2"
"library","pkg:deb",,"perl-base","5.38.2-3.2build2"
"library","pkg:deb",,"pinentry-curses","1.2.1-3ubuntu5"
"library","pkg:deb",,"procps","2:4.0.4-4ubuntu3.2"
"library","pkg:deb",,"readline-common","8.2-4build1"
"library","pkg:deb",,"sed","4.9-2build1"
"library","pkg:deb",,"sensible-utils","0.0.22"
"library","pkg:deb",,"sysvinit-utils","3.08-6ubuntu3"
"library","pkg:deb",,"tar","1.35+dfsg-3build1"
"library","pkg:deb",,"tzdata","2024a-3ubuntu1.1"
"library","pkg:deb",,"ubuntu-keyring","2023.11.28.1"
"library","pkg:deb",,"util-linux","2.39.3-9ubuntu6.1"
"library","pkg:deb",,"wget","1.21.4-1ubuntu4.1"
"library","pkg:deb",,"zlib1g","1:1.3.dfsg-3.1ubuntu2.1"
"library","pkg:maven","ch.qos.logback","logback-classic","1.5.12"
"library","pkg:maven","ch.qos.logback","logback-core","1.5.12"
"library","pkg:maven","com.fasterxml.jackson.core","jackson-annotations","2.18.2"
"library","pkg:maven","com.fasterxml.jackson.core","jackson-core","2.18.2"
"library","pkg:maven","com.fasterxml.jackson.core","jackson-databind","2.18.2"
"library","pkg:maven","com.fasterxml.jackson.datatype","jackson-datatype-jdk8","2.18.2"
"library","pkg:maven","com.fasterxml.jackson.datatype","jackson-datatype-jsr310","2.18.2"
"library","pkg:maven","com.fasterxml.jackson.module","jackson-module-parameter-names","2.18.2"
"library","pkg:maven","io.micrometer","micrometer-commons","1.14.2"
"library","pkg:maven","io.micrometer","micrometer-observation","1.14.2"
"library","pkg:maven","jakarta.annotation","jakarta.annotation-api","2.1.1"
"library","pkg:maven","org.apache.logging.log4j","log4j-api","2.24.3"
"library","pkg:maven","org.apache.logging.log4j","log4j-to-slf4j","2.24.3"
"library","pkg:maven","org.apache.tomcat.embed","tomcat-embed-core","10.1.34"
"library","pkg:maven","org.apache.tomcat.embed","tomcat-embed-el","10.1.34"
"library","pkg:maven","org.apache.tomcat.embed","tomcat-embed-websocket","10.1.34"
"library","pkg:maven","org.slf4j","jul-to-slf4j","2.0.16"
"library","pkg:maven","org.slf4j","slf4j-api","2.0.16"
"library","pkg:maven","org.springframework.boot","spring-boot-autoconfigure","3.4.1"
"library","pkg:maven","org.springframework.boot","spring-boot-starter-json","3.4.1"
"library","pkg:maven","org.springframework.boot","spring-boot-starter-logging","3.4.1"
"library","pkg:maven","org.springframework.boot","spring-boot-starter-tomcat","3.4.1"
"library","pkg:maven","org.springframework.boot","spring-boot-starter-web","3.4.1"
"library","pkg:maven","org.springframework.boot","spring-boot-starter","3.4.1"
"library","pkg:maven","org.springframework.boot","spring-boot","3.4.1"
"library","pkg:maven","org.springframework","spring-aop","6.2.1"
"library","pkg:maven","org.springframework","spring-beans","6.2.1"
"library","pkg:maven","org.springframework","spring-context","6.2.1"
"library","pkg:maven","org.springframework","spring-core","6.2.1"
"library","pkg:maven","org.springframework","spring-expression","6.2.1"
"library","pkg:maven","org.springframework","spring-jcl","6.2.1"
"library","pkg:maven","org.springframework","spring-web","6.2.1"
"library","pkg:maven","org.springframework","spring-webmvc","6.2.1"
"library","pkg:maven","org.yaml","snakeyaml","2.3"
